step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,wr_vs_self,exploit_selfplay,n_snapshots,elapsed
37000000,78.0000,76.0000,76.5000,60.0000,70.0000,70.0000,90.0000,70.0000,95.0000,75.8333,12.3884,69.6391,63.3333,13.3333,9,4687.52
37500000,96.0000,70.0000,76.5000,60.0000,70.0000,75.0000,90.0000,70.0000,90.0000,75.8333,10.9608,70.3529,63.3333,13.3333,9,4750.56
38000000,82.0000,80.0000,80.5000,65.0000,75.0000,75.0000,85.0000,65.0000,90.0000,75.8333,9.3169,71.1749,53.3333,3.3333,9,4814.02
38500000,76.0000,82.0000,80.5000,65.0000,80.0000,80.0000,90.0000,65.0000,90.0000,78.3333,10.2740,73.1963,63.3333,13.3333,9,4877.27
39000000,84.0000,79.0000,80.2500,65.0000,75.0000,90.0000,85.0000,65.0000,80.0000,76.6667,9.4281,71.9526,43.3333,6.6667,9,4939.80
39500000,84.0000,83.0000,83.2500,75.0000,75.0000,85.0000,85.0000,75.0000,90.0000,80.8333,6.0668,77.8000,46.6667,3.3333,9,5002.31
40000000,90.0000,81.0000,83.2500,65.0000,75.0000,75.0000,85.0000,70.0000,90.0000,76.6667,8.4984,72.4175,60.0000,10.0000,9,5065.88
40500000,86.0000,83.0000,83.7500,55.0000,70.0000,80.0000,85.0000,60.0000,95.0000,74.1667,13.9692,67.1821,56.6667,6.6667,9,5129.27
41000000,86.0000,82.0000,83.0000,55.0000,75.0000,80.0000,80.0000,70.0000,90.0000,75.0000,10.8012,69.5994,53.3333,3.3333,9,5192.04
41500000,96.0000,87.0000,89.2500,55.0000,80.0000,85.0000,85.0000,80.0000,90.0000,79.1667,11.3346,73.4994,50.0000,0.0000,9,5254.72
42000000,86.0000,77.0000,79.2500,65.0000,80.0000,80.0000,90.0000,60.0000,95.0000,78.3333,12.4722,72.0972,60.0000,10.0000,9,5317.79
42500000,92.0000,82.0000,84.5000,60.0000,65.0000,70.0000,85.0000,55.0000,90.0000,70.8333,12.7203,64.4732,53.3333,3.3333,9,5381.39
43000000,84.0000,80.0000,81.0000,70.0000,75.0000,75.0000,85.0000,70.0000,85.0000,76.6667,6.2361,73.5486,53.3333,3.3333,9,5445.12
43500000,76.0000,72.0000,73.0000,60.0000,70.0000,80.0000,90.0000,60.0000,85.0000,74.1667,11.6964,68.3185,50.0000,0.0000,9,5508.02
44000000,86.0000,74.0000,77.0000,60.0000,65.0000,70.0000,90.0000,60.0000,100.0000,74.1667,15.3885,66.4724,60.0000,10.0000,9,5571.24
44500000,82.0000,70.0000,73.0000,50.0000,65.0000,75.0000,90.0000,65.0000,90.0000,72.5000,14.3614,65.3193,63.3333,13.3333,9,5633.93
45000000,80.0000,75.0000,76.2500,60.0000,70.0000,80.0000,90.0000,70.0000,90.0000,76.6667,11.0554,71.1390,50.0000,0.0000,9,5696.48
45500000,84.0000,76.0000,78.0000,55.0000,70.0000,85.0000,90.0000,60.0000,90.0000,75.0000,14.1421,67.9289,60.0000,10.0000,9,5759.45
46000000,86.0000,84.0000,84.5000,55.0000,70.0000,75.0000,75.0000,50.0000,90.0000,69.1667,13.3593,62.4870,56.6667,6.6667,9,5822.39
46500000,84.0000,84.0000,84.0000,65.0000,80.0000,75.0000,85.0000,60.0000,90.0000,75.8333,10.5738,70.5464,50.0000,0.0000,9,5885.97
47000000,84.0000,70.0000,73.5000,80.0000,75.0000,70.0000,90.0000,55.0000,95.0000,77.5000,13.1498,70.9251,43.3333,6.6667,9,5950.24
47500000,82.0000,77.0000,78.2500,65.0000,65.0000,80.0000,90.0000,65.0000,95.0000,76.6667,12.4722,70.4306,56.6667,6.6667,9,6013.77
48000000,94.0000,84.0000,86.5000,65.0000,75.0000,85.0000,85.0000,60.0000,85.0000,75.8333,10.1721,70.7473,53.3333,3.3333,9,6077.40
